Rank,Channel Name,Handle,URL,Feed URL,Focus / Angle,Tier
20,AI Explained,@aiexplained-official,https://www.youtube.com/@aiexplained-official,https://www.youtube.com/feeds/videos.xml?channel_id=UCNJ1Ymd5yFuUPtn21xtRbbw,AI model analysis — most rigorous AI analyst on YT,ai-tools
21,Matthew Berman,@MatthewBerman,https://www.youtube.com/@MatthewBerman,https://www.youtube.com/feeds/videos.xml?channel_id=UCawZsQWqfGSbCI5yjkdVkTA,AI model reviews — hands-on testing — daily uploads,ai-tools
22,Matt VidPro AI,@mattvidpro,https://www.youtube.com/@mattvidpro,https://www.youtube.com/feeds/videos.xml?channel_id=UC5Wz4fFacYuON6IKbhSa7Zw,AI news and model reviews,ai-tools
23,Sonny Sangha,@SonnySangha,https://www.youtube.com/@SonnySangha,https://www.youtube.com/feeds/videos.xml?channel_id=UCqeTj_QAnNlmt7FwzNwHZnA,Vibe coding full apps — Cursor + Next.js + Clerk,ai-tools
24,Coder One,@CoderOne,https://www.youtube.com/@CoderOne,https://www.youtube.com/feeds/videos.xml?channel_id=UCMm15RFnHUvM-aSc50e7R9A,Coding agent workflows — practical builder content,ai-tools
25,TheAIGRID,@TheAIGRID,https://www.youtube.com/@TheAIGRID,https://www.youtube.com/feeds/videos.xml?channel_id=UCbY9xX3_jW5c2fjlZVBI4cg,AI industry news — model announcements — daily,ai-tools
26,Internet Made Coder,@InternetMadeCoder,https://www.youtube.com/@InternetMadeCoder,https://www.youtube.com/feeds/videos.xml?channel_id=UCcJQ96WlEhJ0Ve0SLmU310Q,AI side hustles — building apps with AI,ai-tools
27,Nicholas Renotte,@NicholasRenotte,https://www.youtube.com/@NicholasRenotte,https://www.youtube.com/feeds/videos.xml?channel_id=UCHXa4OpASJEwrHrLeIzw7Yg,AI/ML project builds — VLMs — RAG,ai-tools
28,Tina Huang,@TinaHuang1,https://www.youtube.com/@TinaHuang1,https://www.youtube.com/feeds/videos.xml?channel_id=UC2UXDak6o7rBm23k3Vv5dww,Data science + AI career — practical tutorials,ai-tools
29,Theo,@t3dotgg,https://www.youtube.com/@t3dotgg,https://www.youtube.com/feeds/videos.xml?channel_id=UCbRP3c757lWg9M-U7TyEkXA,Next.js/React opinions — AI coding hot takes — daily,webdev
30,Jack Herrington,@jherr,https://www.youtube.com/@jherr,https://www.youtube.com/feeds/videos.xml?channel_id=UC6vRUjYqDuoUsYsku86Lrsw,React/Next.js advanced patterns — TanStack — senior-level,webdev
31,Web Dev Simplified,@WebDevSimplified,https://www.youtube.com/@WebDevSimplified,https://www.youtube.com/feeds/videos.xml?channel_id=UCFbNIlppjAuEX4znoulh0Cw,Web dev tutorials — clear explanations — 1.6M subs,webdev
32,Matt Pocock,@mattpocock,https://www.youtube.com/@mattpocock,https://www.youtube.com/feeds/videos.xml?channel_id=UCU7pKYhvlPKc9AgGGDI5mRQ,TypeScript guru — tips — patterns — advanced TS,webdev
33,Vercel,@VercelHQ,https://www.youtube.com/@VercelHQ,https://www.youtube.com/feeds/videos.xml?channel_id=UCLq8gNoee7oXM7MvTdjyQvA,Official Vercel — Next.js — v0 — AI SDK,webdev
34,Lee Robinson,@leerob,https://www.youtube.com/@leerob,https://www.youtube.com/feeds/videos.xml?channel_id=UCZMli3czZnd1uoc1ShTouQw,Vercel VP — Next.js insider — coding agents,webdev
35,Syntax,@syntaxfm,https://www.youtube.com/@syntaxfm,https://www.youtube.com/feeds/videos.xml?channel_id=UCyU5wkjgQYGRB0hIHMwm2Sg,Web dev podcast — Wes Bos + Scott Tolinski,webdev
36,Wes Bos,@wesbos,https://www.youtube.com/@wesbos,https://www.youtube.com/feeds/videos.xml?channel_id=UCoebwHSTvwalADTJhps0emA,CSS experiments — React — AI pizza agent — creative,webdev
37,Code with Antonio,@CodeWithAntonio,https://www.youtube.com/@CodeWithAntonio,https://www.youtube.com/feeds/videos.xml?channel_id=UCW_4e6sUTMWHxlF06aErH9w,Full-stack Next.js 16 project builds — complete courses,webdev
38,Net Ninja,@NetNinja,https://www.youtube.com/@NetNinja,https://www.youtube.com/feeds/videos.xml?channel_id=UCW5YeuERMmlnqo4oq8vwUpg,Crash courses — Astro — React — frameworks — 1.3M subs,webdev
39,Kevin Powell,@KevinPowell,https://www.youtube.com/@KevinPowell,https://www.youtube.com/feeds/videos.xml?channel_id=UCJZv4d5rbIKd4QHMPkcABCw,CSS mastery — frontend craft — container queries,webdev
40,Joy of Code,@joyofcodedev,https://www.youtube.com/@joyofcodedev,https://www.youtube.com/feeds/videos.xml?channel_id=UC6wpjLSLn2dhlaDjn6_V0rw,Svelte/SvelteKit — TypeScript animations — creative frontend,webdev
41,Traversy Media,@TraversyMedia,https://www.youtube.com/@TraversyMedia,https://www.youtube.com/feeds/videos.xml?channel_id=UC29ju8bIPH5as8OGnQzwJyA,Full-stack tutorials — AI courses — crash courses — 2.3M subs,builders
42,WebDevCody,@WebDevCody,https://www.youtube.com/@WebDevCody,https://www.youtube.com/feeds/videos.xml?channel_id=UCsrVDPJBYeXItETFHG0qzyw,Full-stack builds — Cursor/AI tools — SaaS series,builders
43,Dave Gray,@DaveGrayTeachesCode,https://www.youtube.com/@DaveGrayTeachesCode,https://www.youtube.com/feeds/videos.xml?channel_id=UCY38RvRIxYODO4penyxUwTg,React — Next.js — TypeScript tutorials,builders
44,developedbyed,@developedbyed,https://www.youtube.com/@developedbyed,https://www.youtube.com/feeds/videos.xml?channel_id=UClb90NQQcskPUGDIXsQEz5Q,GPT vs Claude comparisons — web dev + design,builders
45,freeCodeCamp,@freecodecamp,https://www.youtube.com/@freecodecamp,https://www.youtube.com/feeds/videos.xml?channel_id=UC8butISFwT-Wl7EV0hUK0BQ,Free AI/ML courses — Claude Code essentials,builders
46,Dreams of Code,@dreamsofcode,https://www.youtube.com/@dreamsofcode,https://www.youtube.com/feeds/videos.xml?channel_id=UCWQaM7SpSECp9FELz-cHzuQ,Rust — Go — dev tooling — beautiful production,builders
47,typecraft,@typecraft_dev,https://www.youtube.com/@typecraft_dev,https://www.youtube.com/feeds/videos.xml?channel_id=UCo71RUe6DX4w-Vd47rFLXPg,Neovim — terminal tools — developer tooling deep dives,builders
48,Tech with Tim,@TechWithTim,https://www.youtube.com/@TechWithTim,https://www.youtube.com/feeds/videos.xml?channel_id=UC4JX40jDee_tINbkjycV4Sg,Python + AI tutorials — practical projects,builders
49,Sentdex,@Sentdex,https://www.youtube.com/@Sentdex,https://www.youtube.com/feeds/videos.xml?channel_id=UCfzlCWGWYyIQ0aLC5w48gBQ,Python AI/ML — practical projects,builders
50,Coding With Lewis,@CodingWithLewis,https://www.youtube.com/@CodingWithLewis,https://www.youtube.com/feeds/videos.xml?channel_id=UCWI-ohtRu8eEeDj93hmUsUQ,Full-stack tutorials — system design,builders
51,Corey Schafer,@CoreyMS,https://www.youtube.com/@CoreyMS,https://www.youtube.com/feeds/videos.xml?channel_id=UCCezIgC97PvUuR4_gbFUs5g,Python fundamentals — FastAPI — clear explanations,builders
52,Wes Doyle,@WesDoyle,https://www.youtube.com/@WesDoyle,https://www.youtube.com/feeds/videos.xml?channel_id=UCfniixfhHqpIGbU7z2JCNJw,Dev tutorials — serverless — AWS,builders
53,Devaslife,@devaslife,https://www.youtube.com/@devaslife,https://www.youtube.com/feeds/videos.xml?channel_id=UC7yZ6keOGsvERMp2HaEbbXQ,Aesthetic coding — Neovim — indie dev life,builders
54,ByteByteGo,@ByteByteGo,https://www.youtube.com/@ByteByteGo,https://www.youtube.com/feeds/videos.xml?channel_id=UCZgt6AzoyjslHTC9dz0UoTw,System design — API architecture — distributed systems,api-design
55,Hussein Nasser,@haborenn,https://www.youtube.com/@hnasr,https://www.youtube.com/feeds/videos.xml?channel_id=UC_ML5xP23TOWKUcc-oAE_Eg,Backend engineering — Postgres — API protocols,api-design
56,ArjanCodes,@ArjanCodes,https://www.youtube.com/@ArjanCodes,https://www.youtube.com/feeds/videos.xml?channel_id=UCVhQ2NnY5Rskt6UjCUkJ_DA,Python software design — AI patterns — EU-based (Dutch),api-design
57,Nordic APIs,@NordicAPIs,https://www.youtube.com/@NordicAPIs,https://www.youtube.com/feeds/videos.xml?channel_id=UC7ZFDwIPQO46bnQkd80XlDg,API standards — async APIs — Stockholm-based — EU,api-design
58,Postman,@Postman,https://www.youtube.com/@Postman,https://www.youtube.com/feeds/videos.xml?channel_id=UCocudCGVb3MmhWQ1aoIgUQw,API dev tools — AI+API integration,api-design
59,DevOps Toolkit,@DevOpsToolkit,https://www.youtube.com/@DevOpsToolkit,https://www.youtube.com/feeds/videos.xml?channel_id=UCfz8x0lVzJpb_dgWm9kPVrw,AI infra — Kubernetes — EU-based (Croatian),api-design
60,ThePrimeagen,@ThePrimeTimeagen,https://www.youtube.com/@ThePrimeTimeagen,https://www.youtube.com/feeds/videos.xml?channel_id=UCUyeluBRhGPCW4rPe_UvBZQ,Dev culture — Rust — OpenClaw — hot takes,culture
61,3Blue1Brown,@3blue1brown,https://www.youtube.com/@3blue1brown,https://www.youtube.com/feeds/videos.xml?channel_id=UCYO_jab_esuFRV4b17AJtAw,Math/ML visualizations — neural networks,culture
62,NetworkChuck,@NetworkChuck,https://www.youtube.com/@NetworkChuck,https://www.youtube.com/feeds/videos.xml?channel_id=UC9x0AN7BWHpCDHSm9NiJFJQ,IT + AI tools — beginner builds,culture
63,Two Minute Papers,@TwoMinutePapers,https://www.youtube.com/@TwoMinutePapers,https://www.youtube.com/feeds/videos.xml?channel_id=UCbfYPyITQ-7l4upoX8nvctg,AI research visual explainers,culture
64,Hyperplexed,@Hyperplexed,https://www.youtube.com/@Hyperplexed,https://www.youtube.com/feeds/videos.xml?channel_id=UCmEzz-dPBVrsy4ZluSsYHDg,Creative CSS — experimental UI — AI tracking tools,culture
65,AI Labs,@AILabsChannel,https://www.youtube.com/@AILabsChannel,https://www.youtube.com/feeds/videos.xml?channel_id=UC6o4GeIOAWryF3tUHbQaQXg,AI tools and Claude Code exploration,ai-tools
66,ui.dev,@uidotdev,https://www.youtube.com/@uidotdev,https://www.youtube.com/feeds/videos.xml?channel_id=UCbAn7pVK2VIyo-UysfWGdZQ,React/JS fundamentals — advanced patterns,webdev
67,Greg Isenberg,@gregisenberg,https://www.youtube.com/@gregisenberg,https://www.youtube.com/feeds/videos.xml?channel_id=UCPjNBjflYl0-HQtUvOx0Ibw,Startup ideas — AI demos — Claude Code content,ai-tools
68,Fireship,@Fireship,https://www.youtube.com/@Fireship,https://www.youtube.com/feeds/videos.xml?channel_id=UCsBjURrPoezykLs9EqgamOA,Fast witty dev content — AI tool coverage — 100-second explainers,webdev
69,Sam Selikoff,@samselikoff,https://www.youtube.com/@samselikoff,https://www.youtube.com/feeds/videos.xml?channel_id=UCgN4rDA3UNQ1OKQRXJd0nwg,React animations — Framer Motion — streaming text hooks,webdev
70,Coding in Public,@CodingInPublic,https://www.youtube.com/@CodingInPublic,https://www.youtube.com/feeds/videos.xml?channel_id=UCwX1ai6OXRjPvDjAOWKEl8w,Web dev — Astro — CSS — practical tutorials,webdev
71,Ben Holmes,@bholmesdev,https://www.youtube.com/@bholmesdev,https://www.youtube.com/feeds/videos.xml?channel_id=UCyPgpRaz4URus1TxTO8jeyQ,Astro creator — web frameworks — whiteboard explainers,webdev
72,The Coding Train,@TheCodingTrain,https://www.youtube.com/@TheCodingTrain,https://www.youtube.com/feeds/videos.xml?channel_id=UCvjgXvBlbQiydffZU7m1_aw,Creative coding — ML experiments — P5.js,culture
73,Vue Mastery,@VueMastery,https://www.youtube.com/@VueMastery,https://www.youtube.com/feeds/videos.xml?channel_id=UCa1zuotKU4Weuw_fLRnPv0A,Vue.js — AI tools for web devs,webdev
